descriptor_id,descriptor,cleaned_descriptor,merchant_name,merchant_city,merchant_state,merchant_postal_code,merchant_country,merchant_id
8cb338fb-cbbd-461c-ac4c-b3f1126b66bd,Nintendo CA1238213423,NINTENDO CA1238213423,Nintendo Eshop,,53,98052,USA,8f624e9c-47cc-46d7-8c91-c331c7694568
8cc021aa-ce51-464b-9f1a-82f70522080e,Costco Gas,COSTCO GAS,Costco,Garden Grove,CA,92843,,902e7383-061f-44a8-8faa-4582d559dd3e
8d3875ca-5cf5-4bc7-8fc5-b70fc845e3b3,Cinemark Theatres,CINEMARK THEATRES,Cinemark,West Dundee,IL,,,5b5c1b85-0a41-460d-92be-fddef50601c0
8da0f6e8-7f48-4150-ad63-5e7c7ddc86b6,WM SUPERCENTER #1960,WALMART,Walmart,,FL,,USA,b44e177a-7699-4b7b-9e48-0aa438f3edef
8dd4d1a9-61bb-4e7b-80ef-858d05dc9270,Amazon Mktpl*1 F50 N3 Oi3 Amzn.com/Bill,AMAZON MKTPL,Amazon,,WA,,US,a22a954d-ca10-44e0-82d9-e007a0611369
8df0e1fd-c1ee-4b14-9bf4-627175121a11,7-ELEVEN #54129,7 ELEVEN,7-Eleven,,HI,967950000,USA,500a4dd3-7bc6-4e52-941f-60bd12caf10d
8e2d0df9-0efc-4147-bcf6-33670c89667e,Dicks Sporting Goods,DICKS SPORTING GOODS,Dick'S Sporting Goods,,RI,02886,USA,b8ebe955-2f56-410a-9608-0b14e70bbe56
8e7440fb-2d0e-414b-bd2b-092252ccba68,TOM THUMB #2580,,TOM THUMB #2580,,TX,76092,USA,
8f08e308-5de9-43e8-a5a4-517d451db6de,HOTELCOM,HOTELCOM,Hotels.Com,,32,89144,USA,19fa92c4-f97b-4c2e-afb9-fe5237b4c32e
8f40e734-2f7b-45f8-b6a7-9f7eb47221e8,Adobe Inc,ADOBE INC,Adobe,,CA,95110,USA,67d7c342-a16e-434f-b0af-824f62496cb1
8fa3b0bc-3e83-48ea-8c1c-895672cdeab6,ExxonMobil,EXXON,Exxonmobil,Sandy Springs,GA,30350,,7096784d-8a26-4a02-b4ad-51212289b05b
9022d1c7-7ab2-48e5-8401-8380aec4b106,DELTA.CO,DELTA CO,Delta Air Lines,,TX,75225,USA,f3677d26-ebe2-4a7a-bcb3-a5ed3f2b551b
906084c9-4d47-4b36-ba8f-c8163c82da74,Nike.com,NIKE COM,Nike,,CA,90803,USA,af335e15-e401-4327-af9d-85471b17c941
9134b448-cd6b-4da8-9e0e-e69904c7f1c4,TOM THUMB #2580,,TOM THUMB #2580,,TX,76092,USA,
915ecb95-ffea-48a7-a5ef-622a25108f91,GRUBHUBSUBWAY,GRUBHUBSUBWAY,Grubhub,,NY,10018,USA,3227611f-5e2a-4428-8dbc-08569e968515
92059999-c272-4031-839d-3aab5f4bec46,Debit Card purchase KINDLE UNLTD,DEBIT CARD PURCHASE KINDLE UNLTD,Kindle,,WA,,,1379d98d-e829-4075-b798-d7ad562c1a7f
9249ef84-5cb1-4414-bbcf-187c5193d515,DISNEYPLUS,DISNEYPLUS,Disney+,,CA,91521,USA,261194ac-5a6c-49b5-a728-f66a9543b1c4
924c260e-74dc-49a3-9032-cb6b7c881802,ADOBE ADOBE.LY/ENUS,ADOBE ADOBE LY ENUS,Adobe,,CA,95110,USA,67d7c342-a16e-434f-b0af-824f62496cb1
92d18096-9241-489d-ab71-2ab1d2f98f8d,WMT PLUS Jul 2024,,WMT PLUS Jul 2024,,AR,72716,USA,
92ef5694-d5cb-4224-b0b3-88c4e8fe42d7,DISNEYLAND TICKETS,DISNEYLAND TICKETS,Disneyland Resort,,06,928020000,USA,1e097c33-e0b6-4094-91f6-d539fe48610b
936c471a-dfce-4310-afe7-c04eea2f47bf,Albertsons,ALBERTSONS,Albertsons,,CA,92629-,,28532058-1352-41fd-9bf6-28ae028d9461
93840dc7-9a12-4ea4-83ec-f9d1567fbfd9,Food 4 Less,FOOD 4 LESS,Food 4 Less,Springfield,MO,,,81c52581-e1ba-4590-9889-7bb124796129
93a7b968-507e-4613-a51a-706e658f8c16,EXXON PITSTOP MOBIL MA,EXXON,Exxonmobil,,MI,49519,USA,7096784d-8a26-4a02-b4ad-51212289b05b
948f06c3-c0bf-4893-912b-9d0a9a74b359,ADOBE|ADOBE.LY/ENUS,ADOBE ADOBE LY ENUS,Adobe,,CA,951100000,USA,67d7c342-a16e-434f-b0af-824f62496cb1
94e90c37-df36-4969-89ce-0d61566cca91,EXXON AMAL SHAHIN,EXXON,Exxonmobil,,CA,90007,USA,7096784d-8a26-4a02-b4ad-51212289b05b
9508b3a7-bebc-45a4-a316-8c042e384de0,WALGREENS 901 S CROWLE,WALGREENS S CROWLE,Walgreens,,TX,76036,USA,96d73295-5392-4975-a0cd-aabca0fb7ddc
9578513f-f8d1-47b4-abe1-2731241001da,WAL-MART #3545,WAL MART,H Mart,,CT,,USA,9af19142-a550-45f6-a17f-d32a9cb1cf81
95d0b4a9-5907-4804-8ae8-1cbe20c95c1a,WM SUPERCENTER #1960,WALMART,Walmart,,FL,33607,USA,b44e177a-7699-4b7b-9e48-0aa438f3edef
95e5da42-1be6-4fa3-863c-bad16563a11d,CVS,CVS,Cvs,Waukesha,WI,,,e3b217ae-f1ed-4cb6-b056-295abddc7e8d
95f041ed-fca8-4a88-91cb-3d925abefb1c,WWW COSTCO COM,WWW COSTCO COM,Costco,,WA,,USA,902e7383-061f-44a8-8faa-4582d559dd3e
96110865-8bdc-47ca-9a26-e8011b805b6b,CHECKCARD 0414 KINDLE UNLTD SEATTLE WA ,CHECKCARD KINDLE UNLTD SEATTLE WA,Kindle,Seattle,WA,,,1379d98d-e829-4075-b798-d7ad562c1a7f
9656205f-9064-4ae9-b1d3-9ceefd7f3878,AMAZON MKTPL*07 440 Terry Ave N Amzn.com/bill,AMAZON MKTPL,Amazon,,WA,,US,a22a954d-ca10-44e0-82d9-e007a0611369
9665ff04-38e4-4b7c-897c-0c1c4fefbfd4,Amazon Mktpl*100 Sb6 Sv3 Amzn.com/Bill,AMAZON MKTPL,Amazon,,WA,,US,a22a954d-ca10-44e0-82d9-e007a0611369
979a8a29-3aaf-49c7-8d35-17161b1798fe,ACE HARDWARE,ACE HARDWARE,Ace Hardware,,MD,20646,USA,8b429df7-7418-4f57-b64e-b9d179145b5a
97e9c472-003b-404b-bceb-1bf3f8831e7a,ADOBE  *ADOBE,ADOBE,Adobe,,06,951100000,USA,67d7c342-a16e-434f-b0af-824f62496cb1
981b90fd-ead3-4538-8661-80fdad0b0c43,COSTCO WHSE,COSTCO WHSE,Costco,,NY,100017607,USA,902e7383-061f-44a8-8faa-4582d559dd3e
9823133c-a9e9-4557-aebd-6de295c1c241,CHICK-FIL-A #00358,CHICK FIL A,Chick-Fil-A,,FL,34957,USA,3cf2e099-45dd-494a-9a8e-c93b61ed4146
